timestamp_iso_utc,timestamp_ms,day,detector,auto_label,confidence,reason,delta_ms,amount_gap_pct,price_diff_bps,trades_apart
2026-02-04T05:46:26.970000+00:00,1770183986970,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (2140ms) = wash (user-learned),2140,,0.249005,2
2026-02-04T05:47:48.275000+00:00,1770184068275,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (165ms) = wash (user-learned),165,0.02,0.091731,2
2026-02-04T05:48:05.956000+00:00,1770184085956,btcusdt_20260204,mirror_reversal,TP,0.95,Ultra-fast (16ms) + similar amount = wash,16,0.0024,0.28846,3
2026-02-04T05:48:29.240000+00:00,1770184109240,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (225ms) = wash (user-learned),225,0.3994,0.013111,1
2026-02-04T05:48:29.340000+00:00,1770184109340,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (325ms) = wash (user-learned),325,0.3981,0.144218,4
2026-02-04T05:50:05.669000+00:00,1770184205669,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (2299ms) = wash (user-learned),2299,0.0997,0.013113,2
2026-02-04T05:52:22.297000+00:00,1770184342297,btcusdt_20260204,mirror_reversal,TP,0.95,Ultra-fast (37ms) + similar amount = wash,37,0.0035,0.065609,4
2026-02-04T05:52:45.074000+00:00,1770184365074,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (254ms) = wash (user-learned),254,0.5211,0.144346,2
2026-02-04T05:53:24.790000+00:00,1770184404790,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (306ms) = wash (user-learned),306,0.7779,0.013136,5
2026-02-04T05:53:24.790000+00:00,1770184404790,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (306ms) = wash (user-learned),306,0.7572,0.013136,4
2026-02-04T05:53:24.790000+00:00,1770184404790,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (306ms) = wash (user-learned),306,0.0209,0.013136,5
2026-02-04T05:55:10.921000+00:00,1770184510921,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (115ms) = wash (user-learned),115,0.0986,0.288802,5
2026-02-04T05:55:10.921000+00:00,1770184510921,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (109ms) = wash (user-learned),109,0.0986,0.065636,3
2026-02-04T05:55:10.921000+00:00,1770184510921,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (109ms) = wash (user-learned),109,0.0986,0.013127,2
2026-02-04T05:55:11.475000+00:00,1770184511475,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (554ms) = wash (user-learned),554,0.0986,0.223159,4
2026-02-04T05:55:12.168000+00:00,1770184512168,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (693ms) = wash (user-learned),693,,0.170648,4
2026-02-04T06:00:22.978000+00:00,1770184822978,btcusdt_20260204,mirror_reversal,TP,0.95,Ultra-fast (12ms) + similar amount = wash,12,0.0758,0.262143,2
2026-02-04T06:00:23.013000+00:00,1770184823013,btcusdt_20260204,mirror_reversal,TP,0.95,Ultra-fast (35ms) + similar amount = wash,35,0.0758,0.183505,5
2026-02-04T06:00:50.582000+00:00,1770184850582,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (1081ms) = wash (user-learned),1081,0.5922,0.24905,2
2026-02-04T06:00:52.401000+00:00,1770184852401,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (298ms) = wash (user-learned),298,0.3332,0.183547,5
2026-02-04T06:00:52.443000+00:00,1770184852443,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (259ms) = wash (user-learned),259,,0.013111,5
2026-02-04T06:01:48.949000+00:00,1770184908949,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (154ms) = wash (user-learned),154,,0.249017,5
