alert_id,detector,verdict,source,delta_ms,amount_gap_pct,price_diff_bps,trades_apart,window_sec,notional_usd,balance_ratio,created_at
mirror_reversal_1765193776914_auto,mirror_reversal,FP,auto:obvious,3398.0,0.00092,0.010872,3.0,,,,"2026-02-17 23:00:07"
mirror_reversal_1765247005427_auto,mirror_reversal,FP,auto:obvious,3399.0,0.005384,0.011083,5.0,,,,"2026-02-17 23:00:14"
mirror_reversal_1765221732671_auto,mirror_reversal,FP,auto:obvious,3401.0,0.001001,0.011098,5.0,,,,"2026-02-17 23:00:12"
mirror_reversal_1765175601807_auto,mirror_reversal,FP,auto:obvious,3402.0,0.007757,0.010929,5.0,,,,"2026-02-17 23:00:04"
mirror_reversal_1765212045077_auto,mirror_reversal,FP,auto:obvious,3403.0,0.000951,0.221322,5.0,,,,"2026-02-17 23:00:11"
mirror_reversal_1765197983940_auto,mirror_reversal,FP,auto:obvious,3407.0,0.001047,0.010897,2.0,,,,"2026-02-17 23:00:08"
mirror_reversal_1765175301210_auto,mirror_reversal,FP,auto:obvious,3409.0,0.000958,0.01094,1.0,,,,"2026-02-17 23:00:04"
mirror_reversal_1765183941382_auto,mirror_reversal,FP,auto:obvious,3410.0,0.00842,0.359769,3.0,,,,"2026-02-17 23:00:05"
mirror_reversal_1765233517188_auto,mirror_reversal,FP,auto:obvious,3412.0,0.0,0.011007,4.0,,,,"2026-02-17 23:00:13"
mirror_reversal_1765253048363_auto,mirror_reversal,FP,auto:obvious,3417.0,0.0,0.055298,3.0,,,,"2026-02-17 23:00:15"
mirror_reversal_1765246792022_auto,mirror_reversal,FP,auto:obvious,3422.0,0.00095,0.011081,1.0,,,,"2026-02-17 23:00:14"
mirror_reversal_1765175940134_auto,mirror_reversal,FP,auto:obvious,3429.0,0.000969,0.010916,3.0,,,,"2026-02-17 23:00:04"
mirror_reversal_1765172551353_auto,mirror_reversal,FP,auto:obvious,3438.0,0.001015,0.010945,3.0,,,,"2026-02-17 23:00:04"
mirror_reversal_1765227582991_auto,mirror_reversal,FP,auto:obvious,3440.0,0.0,0.033041,5.0,,,,"2026-02-17 23:00:12"
mirror_reversal_1765199277090_auto,mirror_reversal,FP,auto:obvious,3450.0,0.001012,0.010883,1.0,,,,"2026-02-17 23:00:08"
mirror_reversal_1765178108493_auto,mirror_reversal,FP,auto:obvious,3452.0,0.001016,0.010936,5.0,,,,"2026-02-17 23:00:04"
mirror_reversal_1765182565887_auto,mirror_reversal,FP,auto:obvious,3456.0,0.000936,0.032714,5.0,,,,"2026-02-17 23:00:05"
mirror_reversal_1765189076578_auto,mirror_reversal,FP,auto:obvious,3457.0,0.000969,0.010871,2.0,,,,"2026-02-17 23:00:06"
mirror_reversal_1765193554064_auto,mirror_reversal,FP,auto:obvious,3460.0,0.001266,0.261141,4.0,,,,"2026-02-17 23:00:06"
mirror_reversal_1765183297018_auto,mirror_reversal,FP,auto:obvious,3461.0,0.000994,0.0109,3.0,,,,"2026-02-17 23:00:05"
mirror_reversal_1765246795484_auto,mirror_reversal,FP,auto:obvious,3462.0,0.00095,0.432167,5.0,,,,"2026-02-17 23:00:14"
mirror_reversal_1765194534039_auto,mirror_reversal,FP,auto:obvious,3463.0,0.0,0.010876,3.0,,,,"2026-02-17 23:00:07"
mirror_reversal_1765248765774_auto,mirror_reversal,FP,auto:obvious,3477.0,0.001289,0.011083,5.0,,,,"2026-02-17 23:00:14"
mirror_reversal_1765222879051_auto,mirror_reversal,FP,auto:obvious,3479.0,0.000896,0.199681,4.0,,,,"2026-02-17 23:00:12"
mirror_reversal_1765193701627_auto,mirror_reversal,FP,auto:obvious,3485.0,0.001379,0.01088,3.0,,,,"2026-02-17 23:00:07"
mirror_reversal_1765183405104_auto,mirror_reversal,FP,auto:obvious,3488.0,0.001065,0.010898,3.0,,,,"2026-02-17 23:00:05"
mirror_reversal_1765210517376_auto,mirror_reversal,FP,auto:obvious,3492.0,0.000947,0.01112,5.0,,,,"2026-02-17 23:00:10"
mirror_reversal_1765203350839_auto,mirror_reversal,FP,auto:obvious,3494.0,0.001102,0.010927,5.0,,,,"2026-02-17 23:00:09"
mirror_reversal_1765198188441_auto,mirror_reversal,FP,auto:obvious,3498.0,0.000975,0.01089,2.0,,,,"2026-02-17 23:00:08"
mirror_reversal_1765193540398_auto,mirror_reversal,FP,auto:obvious,3502.0,0.001268,0.01088,2.0,,,,"2026-02-17 23:00:06"
mirror_reversal_1765212042839_auto,mirror_reversal,FP,auto:obvious,3502.0,0.000951,0.011066,4.0,,,,"2026-02-17 23:00:11"
mirror_reversal_1765192410869_auto,mirror_reversal,FP,auto:obvious,3509.0,0.001018,0.010858,3.0,,,,"2026-02-17 23:00:06"
mirror_reversal_1765218560045_auto,mirror_reversal,FP,auto:obvious,3509.0,0.009832,0.011089,1.0,,,,"2026-02-17 23:00:11"
mirror_reversal_1765197876749_auto,mirror_reversal,FP,auto:obvious,3514.0,0.000999,0.359715,5.0,,,,"2026-02-17 23:00:08"
mirror_reversal_1765246920333_auto,mirror_reversal,FP,auto:obvious,3521.0,0.001023,0.01108,3.0,,,,"2026-02-17 23:00:14"
mirror_reversal_1765197463275_auto,mirror_reversal,FP,auto:obvious,3522.0,0.001049,0.010895,3.0,,,,"2026-02-17 23:00:08"
mirror_reversal_1765246176396_auto,mirror_reversal,FP,auto:obvious,3522.0,0.000949,0.454818,5.0,,,,"2026-02-17 23:00:14"
mirror_reversal_1765203822948_auto,mirror_reversal,FP,auto:obvious,3523.0,0.000962,0.010944,2.0,,,,"2026-02-17 23:00:09"
mirror_reversal_1765172568358_auto,mirror_reversal,FP,auto:obvious,3524.0,0.001119,0.010946,3.0,,,,"2026-02-17 23:00:04"
mirror_reversal_1765218086673_auto,mirror_reversal,FP,auto:obvious,3524.0,0.0,0.87342,3.0,,,,"2026-02-17 23:00:11"
mirror_reversal_1765212071151_auto,mirror_reversal,FP,auto:obvious,3537.0,0.000952,0.011063,5.0,,,,"2026-02-17 23:00:11"
mirror_reversal_1765211776040_auto,mirror_reversal,FP,auto:obvious,3538.0,0.0,0.29934,3.0,,,,"2026-02-17 23:00:10"
mirror_reversal_1765212404080_auto,mirror_reversal,FP,auto:obvious,3544.0,6.0e-05,0.011081,4.0,,,,"2026-02-17 23:00:11"
