event_id,timestamp_iso_utc,timestamp_ms,day,detector,pair_id,auto_label,confidence,reason,delta_ms,amount_gap_pct,price_diff_bps,trades_apart,window_seconds,imbalance_ratio,notional_usd,price_move_bps,is_partial_window,price_range_bps,amount_missing,reason_mentions_amount,amount_claimed_but_missing,reason_mentions_same_price,same_price_claim_but_large_diff,is_dup_key,review_verdict,review_notes
1768917320162_mirror_reversal_167639_167642,2026-01-20T13:55:20.162000+00:00,1768917320162,Jan-1-31,mirror_reversal,167639_167642,FP,0.9,Slow (3.2s) = normal (user-learned),3201.0,0.0,0.252925,3.0,,,,,,,False,False,False,False,False,False,,
1768985065065_mirror_reversal_61902_61903,2026-01-21T08:44:25.065000+00:00,1768985065065,Jan-1-31,mirror_reversal,61902_61903,FP,0.9,Slow (3.3s) = normal (user-learned),3270.0,0.6447,0.011233,1.0,,,,,,,False,False,False,False,False,False,,
1768661948578_mirror_reversal_76316_76321,2026-01-17T14:59:08.578000+00:00,1768661948578,Jan-1-31,mirror_reversal,76316_76321,FP,0.9,Slow (3.1s) = normal (user-learned),3096.0,0.0996,0.010481,5.0,,,,,,,False,False,False,False,False,False,,
1768181018053_mirror_reversal_188211_188214,2026-01-12T01:23:38.053000+00:00,1768181018053,Jan-1-31,mirror_reversal,188211_188214,FP,0.9,Slow (3.1s) = normal (user-learned),3137.0,0.0,0.109225,3.0,,,,,,,False,False,False,False,False,False,,
1767757520568_mirror_reversal_410998_411002,2026-01-07T03:45:20.568000+00:00,1767757520568,Jan-1-31,mirror_reversal,410998_411002,FP,0.9,Slow (3.2s) = normal (user-learned),3219.0,0.0,0.010771,4.0,,,,,,,False,False,False,False,False,False,,
1767818487059_mirror_reversal_283694_283697,2026-01-07T20:41:27.059000+00:00,1767818487059,Jan-1-31,mirror_reversal,283694_283697,FP,0.9,Slow (3.1s) = normal (user-learned),3086.0,0.1013,0.010974,3.0,,,,,,,False,False,False,False,False,False,,
1767939443363_mirror_reversal_12586_12589,2026-01-09T06:17:23.363000+00:00,1767939443363,Jan-1-31,mirror_reversal,12586_12589,FP,0.9,Slow (3.4s) = normal (user-learned),3354.0,0.4995,0.010979,3.0,,,,,,,False,False,False,False,False,False,,
1769266549340_mirror_reversal_63650_63652,2026-01-24T14:55:49.340000+00:00,1769266549340,Jan-1-31,mirror_reversal,63650_63652,FP,0.9,Slow (3.0s) = normal (user-learned),3020.0,0.0895,0.011179,2.0,,,,,,,False,False,False,False,False,False,,
1769583402323_mirror_reversal_17796_17798,2026-01-28T06:56:42.323000+00:00,1769583402323,Jan-1-31,mirror_reversal,17796_17798,FP,0.9,Slow (3.3s) = normal (user-learned),3314.0,0.0958,0.011192,2.0,,,,,,,False,False,False,False,False,False,,
1768986083754_mirror_reversal_64678_64682,2026-01-21T09:01:23.754000+00:00,1768986083754,Jan-1-31,mirror_reversal,64678_64682,FP,0.9,Slow (3.2s) = normal (user-learned),3208.0,0.1005,0.011214,4.0,,,,,,,False,False,False,False,False,False,,
